time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1584175541.98238897,0.02744175,0.00529847,0.00000281,19061.00000000,0.03393510,0.000000,0.000000
1584175542.08248401,0.02738673,0.00483321,0.00000229,19021.00000000,0.02414059,0.000000,0.000000
1584175542.18257189,0.02737111,0.00505379,0.00000239,19119.00000000,0.02643432,0.000000,0.000000
1584175542.28267002,0.02733105,0.00517292,0.00000226,19110.00000000,0.02488691,0.000000,0.000000
1584175542.38275504,0.02733937,0.00517581,0.00000235,19067.00000000,0.02785548,0.000000,0.000000
1584175542.48285604,0.02728682,0.00486665,0.00000228,19001.00000000,0.02397623,0.000000,0.000000
1584175542.58290410,0.02728377,0.00488566,0.00000239,19008.00000000,0.02708858,0.000000,0.000000
1584175542.68305993,0.02723279,0.00484978,0.00000226,19051.00000000,0.02391912,0.000000,0.000000
1584175542.78313899,0.02723121,0.00502452,0.00000243,19124.00000000,0.02712666,0.000000,0.000000
1584175542.88319802,0.02719427,0.00496124,0.00000225,19160.00000000,0.02471942,0.000000,0.000000
1584175542.98325396,0.02722489,0.00522322,0.00000245,19201.00000000,0.02930723,0.000000,0.000000
1584175543.08335400,0.02719881,0.00491710,0.00000225,19160.00000000,0.02539951,0.000000,0.000000
1584175543.18345404,0.02715293,0.00476236,0.00000225,19135.00000000,0.02394109,0.000000,0.000000
1584175543.28350592,0.02716496,0.00506492,0.00000245,19144.00000000,0.02801897,0.000000,0.000000
1584175543.38362503,0.02710812,0.00487262,0.00000225,19202.00000000,0.02301579,0.000000,0.000000
1584175543.48367906,0.02707378,0.00502281,0.00000226,19212.00000000,0.02456647,0.000000,0.000000
1584175543.58377600,0.02710370,0.00531325,0.00000241,19195.00000000,0.02931799,0.000000,0.000000
1584175543.68389702,0.02708118,0.00527791,0.00000232,19213.00000000,0.02539239,0.000000,0.000000
1584175543.78393602,0.02710574,0.00495111,0.00000241,19307.00000000,0.02897253,0.000000,0.000000
1584175543.88407302,0.02707041,0.00495934,0.00000229,19363.00000000,0.02434995,0.000000,0.000000
1584175543.98410606,0.02704580,0.00510248,0.00000227,19390.00000000,0.02512598,0.000000,0.000000
1584175544.08422303,0.02702009,0.00528713,0.00000227,19391.00000000,0.02498889,0.000000,0.000000
1584175544.18429303,0.02700789,0.00509585,0.00000228,19332.00000000,0.02603230,0.000000,0.000000
1584175544.28444910,0.02705771,0.00505587,0.00000249,19411.00000000,0.03109286,0.000000,0.000000
1584175544.38448501,0.02703736,0.00498425,0.00000227,19454.00000000,0.02536861,0.000000,0.000000
1584175544.48457408,0.02703493,0.00545231,0.00000227,19438.00000000,0.02683293,0.000000,0.000000
1584175544.58466291,0.02704043,0.00484854,0.00000245,19283.00000000,0.02750275,0.000000,0.000000
1584175544.68478799,0.02702346,0.00557838,0.00000223,19292.00000000,0.02558069,0.000000,0.000000
1584175544.78484392,0.02700200,0.00501990,0.00000224,19314.00000000,0.02515696,0.000000,0.000000
1584175544.88495493,0.02698677,0.00498932,0.00000227,19321.00000000,0.02566174,0.000000,0.000000
1584175544.98498011,0.02696447,0.00500687,0.00000229,19372.00000000,0.02500230,0.000000,0.000000
1584175545.08508801,0.02694441,0.00495972,0.00000227,19413.00000000,0.02515879,0.000000,0.000000
1584175545.18513203,0.02692987,0.00547425,0.00000228,19451.00000000,0.02562133,0.000000,0.000000
1584175545.28528595,0.02690219,0.00464925,0.00000227,19528.00000000,0.02438310,0.000000,0.000000
1584175545.38540506,0.02690519,0.00493213,0.00000244,19547.00000000,0.02718090,0.000000,0.000000
1584175545.48541903,0.02688282,0.00479841,0.00000225,19641.00000000,0.02480227,0.000000,0.000000
1584175545.58550096,0.02686157,0.00516691,0.00000228,19712.00000000,0.02486433,0.000000,0.000000
1584175545.68559694,0.02686170,0.00518324,0.00000239,19731.00000000,0.02687378,0.000000,0.000000
1584175545.78568697,0.02683872,0.00493688,0.00000231,19723.00000000,0.02463262,0.000000,0.000000
1584175545.88580489,0.02681627,0.00468943,0.00000227,19753.00000000,0.02463926,0.000000,0.000000
1584175545.98587298,0.02678469,0.00464963,0.00000225,19752.00000000,0.02368966,0.000000,0.000000
1584175546.08625889,0.02675903,0.00457163,0.00000224,19773.00000000,0.02421841,0.000000,0.000000
1584175546.18603706,0.02673095,0.00473936,0.00000227,19795.00000000,0.02392362,0.000000,0.000000
1584175546.28613400,0.02674491,0.00552906,0.00000239,19851.00000000,0.02815495,0.000000,0.000000
1584175546.38621306,0.02672702,0.00482030,0.00000233,19820.00000000,0.02490205,0.000000,0.000000
1584175546.48628211,0.02671467,0.00482940,0.00000227,19858.00000000,0.02544282,0.000000,0.000000
1584175546.58637190,0.02668932,0.00465429,0.00000230,19792.00000000,0.02405200,0.000000,0.000000
1584175546.68645692,0.02667882,0.00489285,0.00000230,19821.00000000,0.02557691,0.000000,0.000000
1584175546.78656292,0.02665387,0.00471271,0.00000230,19827.00000000,0.02400888,0.000000,0.000000
1584175546.88663602,0.02664499,0.00486889,0.00000228,19832.00000000,0.02569551,0.000000,0.000000
1584175546.98674297,0.02662401,0.00496043,0.00000228,19901.00000000,0.02435789,0.000000,0.000000
1584175547.08728790,0.02662257,0.00522040,0.00000235,19938.00000000,0.02646517,0.000000,0.000000
1584175547.18688893,0.02660765,0.00508380,0.00000230,19908.00000000,0.02496709,0.000000,0.000000
1584175547.28750300,0.02660152,0.00490958,0.00000232,19974.00000000,0.02592018,0.000000,0.000000
1584175547.38704705,0.02661152,0.00473988,0.00000250,19950.00000000,0.02773153,0.000000,0.000000
1584175547.48720002,0.02659325,0.00506779,0.00000228,19995.00000000,0.02452908,0.000000,0.000000
1584175547.58724594,0.02658091,0.00473451,0.00000226,19875.00000000,0.02517440,0.000000,0.000000
1584175547.68731809,0.02656541,0.00503104,0.00000227,19896.00000000,0.02478311,0.000000,0.000000
1584175547.78742099,0.02655052,0.00505727,0.00000228,19918.00000000,0.02482338,0.000000,0.000000
1584175547.88751101,0.02652887,0.00474613,0.00000227,19953.00000000,0.02399563,0.000000,0.000000
1584175547.98785305,0.02650895,0.00517474,0.00000225,19939.00000000,0.02415866,0.000000,0.000000
1584175548.08768606,0.02649496,0.00510199,0.00000225,19964.00000000,0.02482923,0.000000,0.000000
1584175548.18783903,0.02647520,0.00500331,0.00000226,19957.00000000,0.02410404,0.000000,0.000000
1584175548.28782606,0.02646156,0.00487886,0.00000226,19992.00000000,0.02481126,0.000000,0.000000
1584175548.38816404,0.02644953,0.00502911,0.00000232,19973.00000000,0.02498239,0.000000,0.000000
1584175548.48801994,0.02642331,0.00440312,0.00000229,19967.00000000,0.02319758,0.000000,0.000000
1584175548.58822203,0.02640990,0.00475218,0.00000228,19964.00000000,0.02474786,0.000000,0.000000
1584175548.68818212,0.02639791,0.00491438,0.00000227,19975.00000000,0.02489930,0.000000,0.000000
1584175548.78851199,0.02638816,0.00490944,0.00000231,19960.00000000,0.02515948,0.000000,0.000000
1584175548.88839602,0.02637374,0.00478460,0.00000230,19967.00000000,0.02454168,0.000000,0.000000
1584175548.98846507,0.02636312,0.00505117,0.00000230,19887.00000000,0.02500449,0.000000,0.000000
1584175549.08853102,0.02634474,0.00477352,0.00000228,19908.00000000,0.02397359,0.000000,0.000000
1584175549.18860412,0.02632717,0.00480389,0.00000224,19893.00000000,0.02404239,0.000000,0.000000
1584175549.28874397,0.02631151,0.00475999,0.00000227,19880.00000000,0.02426014,0.000000,0.000000
1584175549.38883996,0.02630089,0.00477845,0.00000230,19899.00000000,0.02489936,0.000000,0.000000
1584175549.48888302,0.02629490,0.00486708,0.00000237,19914.00000000,0.02549775,0.000000,0.000000
1584175549.58901906,0.02627665,0.00460475,0.00000229,19894.00000000,0.02383097,0.000000,0.000000
1584175549.68905997,0.02627344,0.00483183,0.00000231,19909.00000000,0.02584100,0.000000,0.000000
1584175549.78917003,0.02626454,0.00475786,0.00000227,19924.00000000,0.02505355,0.000000,0.000000
1584175549.88924098,0.02625897,0.00477736,0.00000231,19991.00000000,0.02549612,0.000000,0.000000
1584175549.98932195,0.02626461,0.00498546,0.00000237,20023.00000000,0.02704250,0.000000,0.000000
1584175550.08941293,0.02626898,0.00497022,0.00000235,19997.00000000,0.02687628,0.000000,0.000000
1584175550.18955708,0.02626300,0.00502092,0.00000225,20024.00000000,0.02542614,0.000000,0.000000
1584175550.28958106,0.02625640,0.00494677,0.00000229,20054.00000000,0.02532623,0.000000,0.000000
1584175550.38961697,0.02623990,0.00486832,0.00000231,20059.00000000,0.02389629,0.000000,0.000000
1584175550.48976398,0.02626916,0.00522546,0.00000260,20129.00000000,0.03045398,0.000000,0.000000
1584175550.58979511,0.02626358,0.00510199,0.00000227,20213.00000000,0.02546002,0.000000,0.000000
1584175550.68993998,0.02626225,0.00496325,0.00000228,20247.00000000,0.02606905,0.000000,0.000000
1584175550.78996396,0.02625876,0.00535815,0.00000227,20281.00000000,0.02574933,0.000000,0.000000
1584175550.89011192,0.02626342,0.00536024,0.00000237,20290.00000000,0.02694791,0.000000,0.000000
1584175550.99018693,0.02626084,0.00514513,0.00000228,20345.00000000,0.02587942,0.000000,0.000000
1584175551.09030604,0.02626250,0.00505856,0.00000228,20422.00000000,0.02650940,0.000000,0.000000
1584175551.19032502,0.02625218,0.00477346,0.00000232,20508.00000000,0.02470520,0.000000,0.000000
1584175551.29039502,0.02624861,0.00530442,0.00000229,20557.00000000,0.02570990,0.000000,0.000000
1584175551.39054990,0.02624858,0.00516360,0.00000229,20515.00000000,0.02624304,0.000000,0.000000
1584175551.49057698,0.02624898,0.00534071,0.00000229,20530.00000000,0.02631044,0.000000,0.000000
1584175551.59071207,0.02625968,0.00504569,0.00000232,20555.00000000,0.02790799,0.000000,0.000000
1584175551.69078302,0.02625590,0.00507230,0.00000228,20632.00000000,0.02566895,0.000000,0.000000
1584175551.79087591,0.02625700,0.00555268,0.00000227,20670.00000000,0.02642941,0.000000,0.000000
1584175551.89097404,0.02625550,0.00523290,0.00000226,20634.00000000,0.02602007,0.000000,0.000000
1584175551.99107194,0.02625686,0.00598483,0.00000226,20676.00000000,0.02647104,0.000000,0.000000
1584175552.09110403,0.02625884,0.00616137,0.00000230,20890.00000000,0.02657417,0.000000,0.000000
1584175552.19124103,0.02625567,0.00577083,0.00000228,20897.00000000,0.02574842,0.000000,0.000000
1584175552.29128098,0.02626028,0.00654911,0.00000228,21003.00000000,0.02700203,0.000000,0.000000
1584175552.39138007,0.02624606,0.00517309,0.00000220,19371.00000000,0.02394256,0.000000,0.000000
1584175552.49144411,0.02624276,0.00571721,0.00000222,19691.00000000,0.02570547,0.000000,0.000000
1584175552.59155107,0.02623593,0.00570385,0.00000223,19895.00000000,0.02511618,0.000000,0.000000
1584175552.69165993,0.02624991,0.00688591,0.00000228,20215.00000000,0.02855639,0.000000,0.000000
1584175552.79173994,0.02630144,0.00667541,0.00000265,20175.00000000,0.03485492,0.000000,0.000000
1584175552.89183092,0.02632450,0.00652179,0.00000238,20552.00000000,0.03017573,0.000000,0.000000
1584175552.99192309,0.02634150,0.00741697,0.00000224,20991.00000000,0.02919750,0.000000,0.000000
1584175553.09196091,0.02635575,0.00731376,0.00000229,21372.00000000,0.02876314,0.000000,0.000000
1584175553.19214797,0.02636592,0.00713231,0.00000228,21618.00000000,0.02809580,0.000000,0.000000
1584175553.29216504,0.02638252,0.00749880,0.00000229,22035.00000000,0.02922135,0.000000,0.000000
1584175553.39230609,0.02641844,0.00813134,0.00000250,22432.00000000,0.03259580,0.000000,0.000000
1584175553.49233794,0.02642997,0.00749300,0.00000233,22897.00000000,0.02842531,0.000000,0.000000
1584175553.59243488,0.02645393,0.00836434,0.00000232,23363.00000000,0.03062324,0.000000,0.000000
1584175553.69258904,0.02648526,0.00806503,0.00000241,23880.00000000,0.03196716,0.000000,0.000000
1584175553.79263306,0.02650432,0.00816004,0.00000235,24189.00000000,0.02985965,0.000000,0.000000
1584175553.89268208,0.02652092,0.00784349,0.00000231,24540.00000000,0.02945936,0.000000,0.000000
1584175553.99277997,0.02654060,0.00824664,0.00000234,25131.00000000,0.03004367,0.000000,0.000000
1584175554.09290004,0.02656923,0.00838052,0.00000238,25505.00000000,0.03169299,0.000000,0.000000
1584175554.19292593,0.02660596,0.00844192,0.00000252,26079.00000000,0.03321714,0.000000,0.000000
1584175554.29306602,0.02663253,0.00862319,0.00000237,26551.00000000,0.03144181,0.000000,0.000000
